Engine_speed_rpm,Engine_torque_Nm,Power_in_kW
1455,65.782,95.71281
1453.75,65.29,94.9153375
1461.5,64.797,94.7008155
1462.25,63.812,93.309097
1462,61.35,89.6937
1472,58.887,86.681664
1468.5,53.47,78.520695
1471.25,46.082,67.7981425
1477,43.127,63.698579
1475.5,42.635,62.9079425
1477.75,42.142,62.2753405
1481.75,40.172,59.524861
1479.25,38.202,56.5103085
1484.25,37.217,55.23933225
1485,36.232,53.80452
1483.75,36.232,53.75923
1489.25,36.232,53.958506
1485,35.74,53.0739
1489,35.74,53.21686
1490.75,35.74,53.279405
1491.25,35.74,53.297275
1489.75,35.74,53.243665
1495.25,35.74,53.440235
1493.25,35.74,53.368755
1498.25,35.247,52.80881775
1496.25,35.247,52.73832375
1496,35.247,52.729512
1498.75,35.247,52.82644125
1506.25,35.247,53.09079375
1506.75,35.247,53.10841725
1511.75,35.247,53.28465225
1509.75,35.247,53.21415825
1510.75,35.247,53.24940525
1509,35.247,53.187723
1513.75,35.247,53.35514625
1508.5,35.247,53.1700995
1514.5,35.247,53.3815815
1515.25,35.247,53.40801675
1519,35.247,53.540193
1516,35.247,53.434452
1515.25,35.247,53.40801675
1517,35.247,53.469699
1520.75,34.755,52.85366625
1521.25,34.262,52.1210675
1522.25,33.277,50.65591325
1522.25,32.292,49.156497
1520.75,31.307,47.61012025
1520.25,31.307,47.59446675
1516.25,31.307,47.46923875
1520.25,30.815,46.84650375
1522,30.815,46.90043
1524,30.815,46.96206
1526.75,30.815,47.04680125
1532.75,29.83,45.7219325
1531.5,26.875,41.1590625
1531.25,23.427,35.87259375
1528.25,18.01,27.5237825
1523,14.07,21.42861
1516,14.07,21.33012
1520.5,14.07,21.393435
1518.25,14.07,21.3617775
1513.5,14.07,21.294945
1521.5,14.07,21.407505
1517.25,14.07,21.3477075
1521,14.07,21.40047
1517.5,14.07,21.351225
1516.75,14.07,21.3406725
1511.5,14.07,21.266805
1526,14.07,21.47082
1523.25,14.07,21.4321275
1516.5,14.07,21.337155
1509,14.07,21.23163
1509,14.07,21.23163
1513.25,14.07,21.2914275
1520,14.07,21.3864
1516.5,14.562,22.083273
1521.75,20.965,31.90348875
1532.5,23.427,35.9018775
1532.25,24.905,38.16068625
1543.5,24.905,38.4408675
1551.25,24.905,38.63388125
1569,24.905,39.075945
1565.75,25.89,40.5372675
1562,28.352,44.285824
1568.75,30.815,48.34103125
1575.25,39.187,61.72932175
1577.5,51.007,80.4635425
1606.25,51.007,81.92999375
1611,50.515,81.379665
1576,51.007,80.387032
1551.25,52.485,81.41735625
1532,53.47,81.91604
1526.25,55.932,85.366215
1514.5,56.917,86.2007965
1517.75,57.902,87.8807605
1518.25,62.827,95.38709275
1520.75,63.812,97.042099
1525.5,63.812,97.345206
1526.5,63.812,97.409018
1529.75,63.32,96.86377
1535.25,47.56,73.01649
1536.25,29.337,45.06896625
1530,20.965,32.07645
1533.25,15.547,23.83743775
1540.5,14.07,21.674835
1531,12.1,18.5251
1533.75,6.682,10.2485175
1535.5,1.265,1.9424075
1528.5,-2.675,-4.0887375
1524.25,-3.168,-4.828824
1519.25,-4.153,-6.30944525
1504,-4.645,-6.98608
1543.5,-5.63,-8.689905
